x,y,z,t0,t1,t2,t3,xc_px,yc_px,xc,yc,diagonal
0.12,-0.08,0.12,46.30993247402021,102.14863694396979,154.28731058245563,52.13867363848584,-97.0,77.0,1.746,1.386,78.00640999302557
0.12,-0.07,0.12,49.74356283647073,105.26283824054431,156.3810463850317,51.118208144487404,-84.0,76.0,1.512,1.368,77.10382610480494
0.12,-0.06,0.12,53.43494882292201,108.08108375954072,158.165291207637,50.084207448096286,-76.0,72.0,1.368,1.296,77.23341245859851
0.12,-0.05,0.12,57.38013505195957,110.56165427596392,159.6498794523689,49.08822517640501,-62.0,73.0,1.116,1.314,77.10382610480494
0.12,-0.04,0.12,61.56505117707799,112.66261880705817,160.84501499283402,48.18239618577587,-50.0,72.0,0.9,1.296,77.3692445355388
0.12,-0.03,0.12,65.96375653207352,114.34448503150139,161.76091583812632,47.41643080662492,-38.0,71.0,0.684,1.278,77.79460135510689
0.12,-0.02,0.12,70.53767779197437,115.57291870009966,162.40707821881256,46.83415951871289,-27.0,71.0,0.486,1.278,77.07788269017254
0.12,-0.01,0.12,75.23635830927383,116.32127325085426,162.79131414791703,46.47004089706277,-12.0,70.0,0.216,1.26,86.28441342444185
0.12,0.0,0.12,80.0,116.5726543201047,162.918789672034,46.3461353519293,-2.0,72.0,0.036,1.296,76.60939890117922
0.12,0.01,0.12,84.76364169072617,116.32127325085426,162.79131414791703,46.47004089706277,9.0,71.0,-0.162,1.278,86.55634003352961
0.12,0.02,0.12,89.46232220802563,115.57291870009966,162.40707821881256,46.83415951871289,19.0,69.0,-0.342,1.242,86.31338250816034
0.12,0.03,0.12,94.03624346792648,114.34448503150139,161.76091583812632,47.41643080662492,39.0,74.0,-0.702,1.332,75.8023746329889
0.12,0.04,0.12,98.43494882292201,112.66261880705817,160.84501499283402,48.18239618577587,49.0,72.0,-0.882,1.296,76.8505042273634
0.12,0.05,0.12,102.61986494804043,110.56165427596392,159.6498794523689,49.08822517640501,54.0,74.0,-0.972,1.332,76.15773105863909
0.12,0.06,0.12,106.56505117707799,108.08108375954072,158.165291207637,50.084207448096286,66.0,71.0,-1.188,1.278,86.4060183089118
0.12,0.07,0.12,110.25643716352927,105.26283824054431,156.3810463850317,51.118208144487404,82.0,70.0,-1.476,1.26,86.33075929238663
0.12,0.08,0.12,113.6900675259798,102.14863694396979,154.28731058245563,52.13867363848584,93.0,75.0,-1.674,1.35,76.53757247260981
0.12,0.09,0.12,116.86989764584402,98.77760954436249,151.87452426188213,53.09691471751963,110.0,72.0,-1.98,1.296,85.70297544426332
0.11,0.1,0.12,122.27368900609375,99.55673522845954,152.44580322609056,52.889067997631024,127.0,56.0,-2.286,1.008,75.32595834106593
0.1,0.11,0.12,127.72631099390627,99.55673522845954,152.44580322609056,52.889067997631024,136.0,42.0,-2.448,0.756,86.09297300012354
0.11,0.09,0.12,119.28940686250036,103.3776328317195,155.12900328134117,51.751370449621675,112.0,55.0,-2.016,0.99,76.79192665899195
0.11,0.08,0.12,116.0273733851036,106.98322596997387,157.48263263254333,50.49940666256946,97.0,57.0,-1.746,1.026,88.64536084872124
0.11,0.07,0.12,112.47119229084849,110.33228740803455,159.51595664743394,49.183669239399414,85.0,52.0,-1.53,0.936,86.58521813797087
0.11,0.06,0.12,108.61045966596521,113.3781308978084,161.23908684547888,47.860955947670476,70.0,55.0,-1.26,0.99,86.64871608973787
0.11,0.05,0.12,104.44395478041653,116.07086228602692,162.6635340415101,46.59267175548318,57.0,50.0,-1.026,0.9,77.87810988975015
0.11,0.04,0.12,99.98310652189998,118.36017428389415,163.80218537193858,45.442011088044424,45.0,54.0,-0.81,0.972,77.02596964660685
0.11,0.03,0.12,95.25511870305778,120.19852829231576,164.66865798218828,44.470129689872536,34.0,48.0,-0.612,0.864,87.13208364316786
0.11,0.02,0.12,90.30484646876603,121.54446694984358,165.2760867370148,43.73161978717121,26.0,56.0,-0.468,1.008,86.21484790916237
0.11,0.01,0.12,85.1944289077348,122.36573116609338,165.6355522610379,43.26982109494452,14.0,49.0,-0.252,0.882,77.10382610480494
0.11,0.0,0.12,80.0,122.64182877212745,165.75449840717494,43.11266963504746,3.0,53.0,-0.054,0.954,86.21484790916237
0.11,-0.01,0.12,74.8055710922652,122.36573116609338,165.6355522610379,43.26982109494452,-9.0,53.0,0.162,0.954,85.70297544426332
0.11,-0.02,0.12,69.69515353123397,121.54446694984358,165.2760867370148,43.73161978717121,-22.0,56.0,0.396,1.008,77.38862965578342
