t0,t1,t2,t3,t4,t5 ,x,y,z
0.36342,1.4678,-1.351,0.057715,0,0,0.17995074439196768,0.0684375070820635,0.12
0.33647,1.4779,-1.3619,0.058522,0,0,0.18079158070203746,0.06323549047541457,0.12
0.29681,1.5006,-1.3861,0.060021,0,0,0.1810136575370555,0.055362019959096266,0.12
-0.25059,2.0825,-1.8652,-0.042758,0,0,0.12710788670581427,-0.032535867241036825,0.12
-0.61935,2.1303,-1.8928,-0.062931,0,0,0.103028415209568,-0.07345186041176308,0.12
-0.43706,2.1724,-1.9157,-0.082121,0,0,0.11092009171490105,-0.05182118761362331,0.12
-0.35837,2.1722,-1.9156,-0.082046,0,0,0.11466908977483636,-0.04294851109569785,0.12
-0.29804,2.1627,-1.9106,-0.077591,0,0,0.11793585551472034,-0.036228715202905895,0.12
-0.29804,2.1627,-1.9106,-0.077591,0,0,0.11793585551472034,-0.036228715202905895,0.12
-0.069232,1.8075,-1.6723,0.039356,0,0,0.15812698504353936,-0.010964971653875437,0.12
-0.33304,1.7494,-1.6239,0.049103,0,0,0.1553165468272529,-0.05372788909625247,0.12
-0.54319,1.7804,-1.6501,0.044241,0,0,0.13802323655715734,-0.0833348641377653,0.12
-0.63003,1.7712,-1.6424,0.045767,0,0,0.13102242398071867,-0.0955363995678015,0.12
-0.63003,1.7712,-1.6424,0.045767,0,0,0.13102242398071867,-0.0955363995678015,0.12
-0.69534,1.7469,-1.6218,0.049462,0,0,0.1263855183009858,-0.10545019101613248,0.12
-0.3384,1.8457,-1.7027,0.031481,0,0,0.14590566217668244,-0.05134970129028118,0.12
-0.075668,1.9888,-1.8061,-0.008198,0,0,0.14002950147796822,-0.010616021249944416,0.12
-0.20602,2.1389,-1.8976,-0.066746,0,0,0.12303424389510291,-0.02571232854866771,0.12
-0.2565,2.1891,-1.9244,-0.09011,0,0,0.1168514725531852,-0.03064749181553724,0.12
-0.2698,2.2063,-1.9332,-0.09855,0,0,0.11482469725238358,-0.03175394659159124,0.12
-0.28708,2.2242,-1.9421,-0.10757,0,0,0.1125933580220734,-0.03324155855254584,0.12
0.20754,2.2168,-1.9384,-0.10381,0,0,0.11557878096868099,0.024337658519419877,0.12
0.47167,2.0333,-1.835,-0.023777,0,0,0.1211854585883871,0.06181289621377048,0.12
