x,y,z,t0,t1,t2,t3,xc_px,yc_px,xc,yc,diagonal,xe,ye
0.05,0.18,0.12,154.47588900324575,77.64779647472515,133.17725543248264,55.52945895775749,-43.0,233.0,0.02985074626865672,0.10434782608695653,78.89233169326408,0.9693356047700171,0.8968401486988848
0.06,0.17,0.12,150.55996517182382,81.39694562718014,136.9516808202597,55.55473519307953,-25.0,222.0,0.08358208955223882,0.1234782608695652,79.60527620704548,0.9158432708688247,0.8775092936802975
0.05,0.17,0.12,153.6104596659652,83.15599205880758,138.6542090297266,55.498216970918975,-41.0,216.0,0.03582089552238807,0.13391304347826088,80.26207074328447,0.9632027257240205,0.8674721189591079
0.06,0.16,0.12,149.44395478041653,86.76615186515883,142.01181052023685,55.24565865507803,-22.0,202.0,0.09253731343283583,0.1582608695652174,76.48529270389177,0.9066439522998297,0.8431226765799258
0.05,0.16,0.12,152.64597536373867,88.62367714064925,143.66804214062938,55.044364999980125,-38.0,200.0,0.04477611940298508,0.1617391304347826,80.1311425102625,0.9540034071550256,0.8397769516728626
0.06,0.15,0.12,148.19859051364818,92.10497830575515,146.6422365812282,54.537258275473015,-22.0,185.0,0.09253731343283583,0.1878260869565217,76.48529270389177,0.9066439522998297,0.8137546468401488
0.05,0.15,0.12,151.56505117707798,94.08380395514152,148.2577740429466,54.17397008780505,-34.0,183.0,0.05671641791044778,0.19130434782608696,79.64923100695951,0.9417376490630325,0.8104089219330856
0.06,0.14,0.12,146.80140948635182,97.43368320999473,150.8697462877992,53.43606307780449,-14.0,168.0,0.1164179104477612,0.21739130434782605,78.0,0.8821124361158433,0.7843866171003717
0.05,0.14,0.12,150.34617594194668,99.55673522845954,152.44580322609056,52.889067997631024,-26.0,165.0,0.08059701492537315,0.2226086956521739,76.96752561957543,0.9172061328790461,0.779368029739777
0.06,0.13,0.12,145.22485943116808,102.76044112817608,154.70883321324737,51.94839208507127,-18.0,154.0,0.10447761194029853,0.24173913043478262,78.54934754662193,0.8943781942078365,0.7600371747211896
0.05,0.13,0.12,148.9624889745782,105.05080683913772,156.24257846284698,51.19177162370925,-27.0,146.0,0.07761194029850747,0.25565217391304346,79.20227269466452,0.9202725724020444,0.7466542750929368
0.06,0.12,0.12,143.43494882292202,108.08108375954072,158.165291207637,50.084207448096286,-15.0,134.0,0.11343283582089553,0.27652173913043476,78.77182237323191,0.8851788756388417,0.7256505576208179
0.05,0.12,0.12,147.38013505195957,110.56165427596392,159.6498794523689,49.08822517640501,-24.0,131.0,0.0865671641791045,0.2817391304347826,79.30952023559341,0.9110732538330495,0.7206319702602231
0.06,0.11,0.12,141.3895403340348,113.3781308978084,161.23908684547888,47.86095594767048,-16.0,119.0,0.11044776119402988,0.3026086956521739,78.43468620451031,0.8882453151618399,0.6996282527881041
0.05,0.11,0.12,145.55604521958347,116.07086228602692,162.6635340415101,46.59267175548318,-27.0,111.0,0.07761194029850747,0.3165217391304348,78.92401408950256,0.9202725724020444,0.6862453531598514
0.05,0.1,0.12,143.43494882292202,121.54446694984355,165.2760867370148,43.73161978717124,-25.0,97.0,0.08358208955223882,0.3408695652173913,79.12016177940993,0.9141396933560477,0.6618959107806692
0.06,0.1,0.12,139.03624346792648,118.61961415120756,163.92704753857686,45.30743338736932,-9.0,110.0,0.13134328358208958,0.3182608695652174,77.62087348130012,0.8667802385008518,0.68364312267658
0.07,0.1,0.12,135.00797980144134,115.32537028508844,162.27841132779272,46.953041042704285,2.0,113.0,0.16417910447761197,0.31304347826086953,76.2954782408499,0.8347529812606475,0.6886617100371748
0.08,0.1,0.12,131.34019174590992,111.720576938281,160.31616249362438,48.59558555534336,16.0,114.0,0.20597014925373136,0.31130434782608696,76.53103945458993,0.7935264054514481,0.6903345724907064
0.09,0.1,0.12,128.01278750418334,107.8600756956438,158.0291339974189,50.16905830177512,27.0,121.0,0.23880597014925375,0.2991304347826087,77.05841939723393,0.7614991482112436,0.7020446096654276
0.1,0.1,0.12,125.0,103.7921505444392,155.40834861469415,51.616198070254974,43.0,120.0,0.28656716417910455,0.3008695652173913,76.10519036176179,0.7141396933560478,0.700371747211896
