x,y,z,t0,t1,t2,t3,x0,y0,x1,y1,x2,y2,x3,y3,xc,yc,diagonal,b64_image,width,height
0.1,0.05,0.12,106.56505117707799,121.54446694984355,165.2760867370148,43.73161978717124,231.0,302.0,215.0,275.0,263.0,243.0,282.0,269.0,247.0,272.0,67.11929677819934,,640,480
0.1,0.04,0.12,101.80140948635182,124.040350433703,166.342305668604,42.301955234901016,241.0,302.0,226.0,272.0,277.0,245.0,294.0,274.0,259.0,273.0,67.4166151627327,,640,480
0.1,0.03,0.12,96.69924423399362,126.05072799461365,167.14426744733095,41.09353945271731,245.0,299.0,233.0,267.0,286.0,243.0,300.0,275.0,265.0,271.0,69.40461079784254,,640,480
0.1,0.02,0.12,91.30993247402021,127.52609410715198,167.70047100108536,40.1743768939334,252.0,294.0,242.0,261.0,297.0,243.0,309.0,276.0,274.0,268.0,68.01470429252781,,640,480
0.1,0.01,0.12,85.71059313749964,128.42778499877244,168.02688495423502,39.59909995546256,264.0,286.0,259.0,254.0,316.0,245.0,323.0,278.0,290.0,265.0,66.21933252457322,,640,480
0.1,0.0,0.12,80.0,128.7311692405338,168.1343989399437,39.403229699409906,269.0,285.0,266.0,251.0,322.0,245.0,327.0,280.0,295.0,265.0,66.40030120413611,,640,480
0.1,-0.01,0.12,74.28940686250036,128.42778499877244,168.02688495423502,39.59909995546256,279.0,282.0,279.0,248.0,337.0,249.0,338.0,284.0,308.0,265.0,66.73080248281148,,640,480
0.1,-0.02,0.12,68.69006752597979,127.52609410715198,167.70047100108536,40.1743768939334,291.0,280.0,295.0,246.0,352.0,255.0,349.0,290.0,321.0,267.0,65.92419889539804,,640,480
0.1,-0.03,0.12,63.300755766006375,126.05072799461365,167.14426744733095,41.09353945271731,297.0,278.0,303.0,245.0,359.0,257.0,353.0,292.0,328.0,267.0,65.45991139621256,,640,480
0.1,-0.04,0.12,58.198590513648185,124.040350433703,166.342305668604,42.301955234901016,309.0,273.0,319.0,243.0,372.0,263.0,363.0,295.0,340.0,268.0,63.788713735268246,,640,480
0.1,-0.05,0.12,53.43494882292201,121.54446694984355,165.2760867370148,43.73161978717124,321.0,269.0,334.0,241.0,384.0,267.0,373.0,296.0,352.0,268.0,63.0317380372777,,640,480
0.1,-0.06,0.12,49.03624346792648,118.61961415120756,163.92704753857686,45.30743338736932,335.0,264.0,349.0,239.0,396.0,270.0,384.0,296.0,365.0,267.0,61.29437168288782,,640,480
0.1,-0.07,0.12,45.00797980144133,115.32537028508844,162.27841132779272,46.953041042704285,342.0,259.0,355.0,236.0,401.0,268.0,389.0,293.0,371.0,263.0,59.682493245507096,,640,480
