x,y,z,xe,ye,ze
0.11503,-0.029975,0.12,0.0080392,-0.042036,0.0
0.11787,-0.067375,0.12,0.012963,-0.027068,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.11503,-0.029975,0.12,0.0080392,-0.042036,0.0
0.11787,-0.067375,0.12,0.012963,-0.027068,0.0
0.1263,-0.08855,0.12,0.0084121,-0.01711,0.0
0.11503,-0.029975,0.12,0.0080392,-0.042036,0.0
0.11787,-0.067375,0.12,0.012963,-0.027068,0.0
0.1263,-0.08855,0.12,0.0084121,-0.01711,0.0
0.13079,-0.10074,0.12,0.0058618,-0.010526,0.0
0.11787,-0.067375,0.12,0.012963,-0.027068,0.0
0.1263,-0.08855,0.12,0.0084121,-0.01711,0.0
0.13079,-0.10074,0.12,0.0058618,-0.010526,0.0
0.13519,-0.10597,0.12,0.0024324,-0.0081051,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.13556,-0.10734,0.12,0.018359,0.038692,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.13556,-0.10734,0.12,0.018359,0.038692,0.0
0.15188,-0.0781,0.12,0.0097031,0.033564,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.13556,-0.10734,0.12,0.018359,0.038692,0.0
0.15188,-0.0781,0.12,0.0097031,0.033564,0.0
0.16104,-0.047667,0.12,0.004367,0.015187,0.0
0.13556,-0.10734,0.12,0.018359,0.038692,0.0
0.15188,-0.0781,0.12,0.0097031,0.033564,0.0
0.16104,-0.047667,0.12,0.004367,0.015187,0.0
0.16196,-0.042258,0.12,0.0053656,0.015807,0.0
0.15188,-0.0781,0.12,0.0097031,0.033564,0.0
0.16104,-0.047667,0.12,0.004367,0.015187,0.0
0.16196,-0.042258,0.12,0.0053656,0.015807,0.0
0.16343,-0.033183,0.12,0.0048565,0.0097466,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.16416,-0.027042,0.12,-0.013925,0.022948,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.13382,0.012558,0.12,-0.0074797,-0.061425,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.13382,0.012558,0.12,-0.0074797,-0.061425,0.0
0.12722,-0.043175,0.12,-0.0033246,-0.036243,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.13382,0.012558,0.12,-0.0074797,-0.061425,0.0
0.12722,-0.043175,0.12,-0.0033246,-0.036243,0.0
0.12007,-0.074158,0.12,0.002603,-0.020535,0.0
0.13382,0.012558,0.12,-0.0074797,-0.061425,0.0
0.12722,-0.043175,0.12,-0.0033246,-0.036243,0.0
0.12007,-0.074158,0.12,0.002603,-0.020535,0.0
0.12263,-0.08745,0.12,-0.0005749,-0.014881,0.0
0.12722,-0.043175,0.12,-0.0033246,-0.036243,0.0
0.12007,-0.074158,0.12,0.002603,-0.020535,0.0
0.12263,-0.08745,0.12,-0.0005749,-0.014881,0.0
0.12309,-0.096525,0.12,-0.0013388,-0.0096247,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.12126,-0.10432,0.12,-0.012632,0.039343,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.12126,-0.10432,0.12,-0.012632,0.039343,0.0
0.11411,-0.065175,0.12,-0.011893,0.022698,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.12126,-0.10432,0.12,-0.012632,0.039343,0.0
0.11411,-0.065175,0.12,-0.011893,0.022698,0.0
0.10476,-0.045833,0.12,-0.0057478,0.014605,0.0
0.12126,-0.10432,0.12,-0.012632,0.039343,0.0
0.11411,-0.065175,0.12,-0.011893,0.022698,0.0
0.10476,-0.045833,0.12,-0.0057478,0.014605,0.0
0.10137,-0.034375,0.12,-0.0039588,0.0087715,0.0
0.11411,-0.065175,0.12,-0.011893,0.022698,0.0
0.10476,-0.045833,0.12,-0.0057478,0.014605,0.0
0.10137,-0.034375,0.12,-0.0039588,0.0087715,0.0
0.09935,-0.033183,0.12,-0.0027434,0.010392,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.097608,-0.023742,0.12,-0.0075437,0.05955,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.077167,0.084883,0.12,0.013704,0.01113,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.077167,0.084883,0.12,0.013704,0.01113,0.0
0.087525,0.091392,0.12,0.0066194,0.00683,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.09,0.094967,0.12,0.05568,-0.063203,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.19065,-0.023558,0.12,-0.039388,0.054777,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.19065,-0.023558,0.12,-0.039388,0.054777,0.0
0.15389,0.026308,0.12,-0.023969,0.038971,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.19065,-0.023558,0.12,-0.039388,0.054777,0.0
0.15389,0.026308,0.12,-0.023969,0.038971,0.0
0.13107,0.0572,0.12,-0.011814,0.025109,0.0
0.19065,-0.023558,0.12,-0.039388,0.054777,0.0
0.15389,0.026308,0.12,-0.023969,0.038971,0.0
0.13107,0.0572,0.12,-0.011814,0.025109,0.0
0.12126,0.074983,0.12,-0.0073409,0.015841,0.0
0.15389,0.026308,0.12,-0.023969,0.038971,0.0
0.13107,0.0572,0.12,-0.011814,0.025109,0.0
0.12126,0.074983,0.12,-0.0073409,0.015841,0.0
0.11448,0.084608,0.12,-0.0032251,0.010474,0.0
0.13107,0.0572,0.12,-0.011814,0.025109,0.0
0.12126,0.074983,0.12,-0.0073409,0.015841,0.0
0.11448,0.084608,0.12,-0.0032251,0.010474,0.0
0.11017,0.090017,0.12,-0.00025051,0.0071943,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.11044,0.089925,0.12,0.018415,-0.035432,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.14482,0.0176,0.12,0.026612,-0.014065,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.14482,0.0176,0.12,0.026612,-0.014065,0.0
0.16838,0.008525,0.12,0.014203,-0.0080456,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.14482,0.0176,0.12,0.026612,-0.014065,0.0
0.16838,0.008525,0.12,0.014203,-0.0080456,0.0
0.18057,0.0014667,0.12,0.0075858,-0.002515,0.0
0.14482,0.0176,0.12,0.026612,-0.014065,0.0
0.16838,0.008525,0.12,0.014203,-0.0080456,0.0
0.18057,0.0014667,0.12,0.0075858,-0.002515,0.0
0.18158,0.0012833,0.12,0.0093647,-0.0030956,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.18918,-0.00045833,0.12,-0.0010919,0.023113,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.1835,0.042075,0.12,-0.040317,-0.055737,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.1835,0.042075,0.12,-0.040317,-0.055737,0.0
0.14968,-0.0064167,0.12,-0.026128,-0.038019,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.1835,0.042075,0.12,-0.040317,-0.055737,0.0
0.14968,-0.0064167,0.12,-0.026128,-0.038019,0.0
0.12621,-0.0429,0.12,-0.012479,-0.016923,0.0
0.1835,0.042075,0.12,-0.040317,-0.055737,0.0
0.14968,-0.0064167,0.12,-0.026128,-0.038019,0.0
